rank,username,digg_profile_username,display_name,role,cohort,tech_ranked_followers,gravity,score,followers_count,bio,x_id,github_url,previous_rank,rank_change,category_rank,category_confidence,vibe_distribution,vibe_tweet_count,is_new_entrant,is_emerging_startup,emerging_reasoning,classification_tldr,cohort_rank,digg_url,x_url
1,karpathy,karpathy,Andrej Karpathy,Research Engineer,ai,758,10.0,758,3195900,I like training large deep neural nets.,33836629,https://github.com/karpathy,1,0,1,8.5,"{'troll': 0, 'banter': 0.4, 'hopeful': 10.8, 'humorous': 12.7, 'teaching': 22.6, 'combative': 0.1, 'informing': 25.8, 'announcing': 12, 'supportive': 6.5, 'provocative': 7.6, 'devils_advocate': 1.6}",200,False,False,,,1,https://digg.com/u/x/karpathy,https://x.com/karpathy
2,JeffDean,jeffdean,Jeff Dean,Researcher,ai,721,9.512,721,446635,"Chief Scientist, Google DeepMind & Google Research. Gemini Lead. Opinions stated here are my own, not those of Google. TensorFlow, MapReduce, Bigta...",911297187664949248,,2,0,1,8.5,"{'troll': 0, 'banter': 1.8, 'hopeful': 14.1, 'humorous': 7, 'teaching': 11.7, 'combative': 1.1, 'informing': 26.9, 'announcing': 15.8, 'supportive': 19.9, 'provocative': 1.4, 'devils_advocate': 0.3}",180,False,False,,,2,https://digg.com/u/x/jeffdean,https://x.com/JeffDean
3,ylecun,ylecun,Yann LeCun,Academic,ai,643,8.483,643,1226263,"Professor at NYU & Executive Chairman at AMI Labs. 
Ex-Chief AI Scientist at Meta.
Researcher in AI, Machine Learning, Robotics, etc.
ACM Turing Aw...",48008938,https://github.com/ylecun,4,1,1,7.2,"{'troll': 0, 'banter': 15.7, 'hopeful': 0.7, 'humorous': 31.1, 'teaching': 5.4, 'combative': 1.1, 'informing': 11.4, 'announcing': 2.6, 'supportive': 0.4, 'provocative': 31.1, 'devils_advocate': 0.3}",35,False,False,,,3,https://digg.com/u/x/ylecun,https://x.com/ylecun
4,ilyasut,ilyasut,Ilya Sutskever,Founder,ai,625,8.245,625,714369,SSI @SSI,1720046887,,3,-1,1,8.5,"{'troll': 0, 'banter': 0.1, 'hopeful': 16.2, 'humorous': 12.6, 'teaching': 28.5, 'combative': 0.1, 'informing': 9.5, 'announcing': 4.6, 'supportive': 9.7, 'provocative': 17, 'devils_advocate': 1.7}",199,False,False,,,4,https://digg.com/u/x/ilyasut,https://x.com/ilyasut
5,GoogleDeepMind,googledeepmind,Google DeepMind,Company,ai,623,8.219,623,1465593,The engine room of @Google. Building AI safely and responsibly to solve the world’s most complex problems. Join us: https://deepmind.google/careers/,4783690002,,8,3,1,,{},0,False,False,,,5,https://digg.com/u/x/googledeepmind,https://x.com/GoogleDeepMind
6,goodfellow_ian,goodfellow_ian,Ian Goodfellow,Researcher,ai,613,8.087,613,373203,Co-founder of stealth startup. Inventor of GANs. Lead author of http://www.deeplearningbook.org Founding chairman of @pubhealthaction,775449094739197953,https://github.com/goodfeli,9,3,2,9.5,"{'troll': 0, 'banter': 0, 'hopeful': 9.9, 'humorous': 0.6, 'teaching': 23.8, 'combative': 0.4, 'informing': 34.7, 'announcing': 12.3, 'supportive': 15.1, 'provocative': 2.5, 'devils_advocate': 0.6}",79,False,False,,,6,https://digg.com/u/x/goodfellow_ian,https://x.com/goodfellow_ian
7,OpenAI,openai,OpenAI,Company,ai,607,8.008,607,4972473,OpenAI’s mission is to ensure that artificial general intelligence benefits all of humanity. We’re hiring: http://openai.com/jobs,4398626122,,5,-2,2,10,{},0,False,False,,,7,https://digg.com/u/x/openai,https://x.com/OpenAI
8,geoffreyhinton,geoffreyhinton,Geoffrey Hinton,AI Safety,ai,585,7.718,585,614340,deep learning,1084212657761148928,,10,2,1,8,"{'troll': 0, 'banter': 0, 'hopeful': 8, 'humorous': 5.9, 'teaching': 12.5, 'combative': 5.1, 'informing': 26.5, 'announcing': 13.1, 'supportive': 17.8, 'provocative': 9.6, 'devils_advocate': 1.5}",71,False,False,,,8,https://digg.com/u/x/geoffreyhinton,https://x.com/geoffreyhinton
9,OriolVinyalsML,oriolvinyalsml,Oriol Vinyals,Researcher,ai,571,7.533,571,203518,"VP of Research & Deep Learning Lead, Google DeepMind. Gemini co-lead.

Past: AlphaStar, AlphaFold, AlphaCode, WaveNet, seq2seq, distillation, TF.",3918111614,https://github.com/oriolvinyals,12,3,3,8.5,"{'troll': 0, 'banter': 2.2, 'hopeful': 19, 'humorous': 13.8, 'teaching': 12.5, 'combative': 0, 'informing': 21.3, 'announcing': 13.9, 'supportive': 12.4, 'provocative': 4.5, 'devils_advocate': 0.6}",200,False,False,,,9,https://digg.com/u/x/oriolvinyalsml,https://x.com/OriolVinyalsML
10,drfeifei,drfeifei,Fei-Fei Li,Founder,ai,554,7.309,554,812318,"Cofounder/CEO @theworldlabs, Prof (CS @Stanford), Co-Director @StanfordHAI, #AI #SpatialIntelligence #GenAI #computervision #robotics #AI-healthcare",130745589,,14,4,2,7,"{'troll': 0, 'banter': 0.1, 'hopeful': 25.5, 'humorous': 3.3, 'teaching': 8, 'combative': 0, 'informing': 16.5, 'announcing': 23.1, 'supportive': 22.5, 'provocative': 0.8, 'devils_advocate': 0.2}",198,False,False,,,10,https://digg.com/u/x/drfeifei,https://x.com/drfeifei
