entity_id,organization,x_handle,followers_count,latest_timeline_post_at,activity_status,latest_post_url,error
3047,AI Engineer,@aidotengineer,60977,2026-07-10T22:18:26+00:00,active,https://x.com/aiDotEngineer/status/2075706238554534338,
2437,AI21 Labs,@ai21labs,11073,2026-07-08T12:56:54+00:00,active,https://x.com/AI21Labs/status/2074840148924076272,
1,Anthropic,@anthropicai,1517552,2026-07-09T17:34:25+00:00,active,https://x.com/AnthropicAI/status/2075272376003199167,
1,Anthropic,@claudeai,1599339,2026-07-09T17:31:58+00:00,active,https://x.com/claudeai/status/2075271759289303522,
1,Anthropic,@claudedevs,577745,2026-07-10T17:36:29+00:00,active,https://x.com/ClaudeDevs/status/2075635283211772279,
3060,Anysphere,@cursor_ai,428276,2026-07-10T20:59:05+00:00,active,https://x.com/cursor_ai/status/2075686268113916023,
2837,Arcee.ai,@arcee_ai,12384,2026-07-10T15:54:32+00:00,active,https://x.com/arcee_ai/status/2075609625442042125,
374,Arena.ai,@arena,175035,2026-07-10T23:18:07+00:00,active,https://x.com/arena/status/2075721255731470743,
2888,argmax,@argmax,4484,2026-06-08T15:55:43+00:00,active,https://x.com/argmax/status/2064013513455268146,
2340,Artificial Analysis,@artificialanlys,109392,2026-07-11T00:31:33+00:00,active,https://x.com/ArtificialAnlys/status/2075739735822307577,
2461,AssemblyAI,@assemblyai,45736,2026-07-10T18:19:16+00:00,active,https://x.com/AssemblyAI/status/2075646051420418270,
2884,Axolotl AI,@axolotl_ai,2197,2026-04-30T17:51:00+00:00,active,https://x.com/axolotl_ai/status/2049909396075868356,
858,Baidu Research,@baiduresearch,67282,2026-07-07T09:05:19+00:00,active,https://x.com/BaiduResearch/status/2074419481376670116,
2411,Baseten,@baseten,13689,2026-07-10T15:56:57+00:00,active,https://x.com/baseten/status/2075610233481691337,
3070,Berkeley AI Research,@berkeley_ai,278560,2026-07-07T18:40:41+00:00,active,https://x.com/berkeley_ai/status/2074564274601721861,
2623,Bitrig,@bitrigapp,3358,2026-07-10T17:03:06+00:00,active,https://x.com/BitrigApp/status/2075626880867393578,
2765,Black Forest Labs,@bfl_ai,44900,2026-07-10T15:55:31+00:00,active,https://x.com/bfl_ai/status/2075609872247517513,
2770,Browser Use,@browser_use,43529,2026-07-10T16:01:54+00:00,active,https://x.com/browser_use/status/2075611479706046653,
2758,Browserbase,@browserbase,20382,2026-07-09T22:27:00+00:00,active,https://x.com/browserbase/status/2075346004476620988,
2323,Cline,@cline,65741,2026-07-10T20:57:57+00:00,active,https://x.com/cline/status/2075685983476236479,
2338,Cognition,@cognition,166064,2026-07-09T19:59:38+00:00,active,https://x.com/cognition/status/2075308920755618144,
524,Cohere,@cohere,117539,2026-07-10T19:30:34+00:00,active,https://x.com/cohere/status/2075663990932295825,
2556,Common Crawl Foundation,@commoncrawl,7844,2026-07-03T16:15:38+00:00,active,https://x.com/CommonCrawl/status/2073078219855777935,
2421,Databricks AI Research,@dbrxmosaicai,50849,2026-06-04T16:46:48+00:00,active,https://x.com/DbrxMosaicAI/status/2062576815927857321,
2694,Daytona,@daytonaio,10579,2026-07-10T18:55:20+00:00,active,https://x.com/daytonaio/status/2075655126019408163,
3,DeepSeek,@deepseek_ai,1045735,2026-05-22T16:01:03+00:00,active,https://x.com/deepseek_ai/status/2057854261699195173,
2423,Elicit,@elicitorg,14050,2026-07-08T16:14:00+00:00,active,https://x.com/elicitorg/status/2074889749614239783,
2386,Epoch AI,@epochairesearch,47828,2026-07-10T20:24:51+00:00,active,https://x.com/EpochAIResearch/status/2075677653517140131,
2574,fal,@editwithfal,9693,2025-06-10T21:07:34+00:00,active,https://x.com/EditWithFal/status/1932545195566092603,
2574,fal,@fal,50445,2026-07-10T17:32:10+00:00,active,https://x.com/fal/status/2075634198019215781,
2397,Glass Health,@glasshealthhq,9778,2026-07-08T19:47:47+00:00,active,https://x.com/GlassHealthHQ/status/2074943551725826498,
2332,Goodfire,@goodfireai,25149,2026-07-10T16:01:05+00:00,active,https://x.com/GoodfireAI/status/2075611273061175479,
841,Google,@geminiapp,531761,2026-07-10T15:11:50+00:00,active,https://x.com/GeminiApp/status/2075598881136767010,
841,Google,@google,31895984,2026-07-10T22:46:49+00:00,active,https://x.com/Google/status/2075713381428871387,
841,Google,@googleai,2419620,2026-07-10T15:53:15+00:00,active,https://x.com/GoogleAI/status/2075609303029776872,
841,Google,@googleaistudio,184470,2026-07-10T15:00:22+00:00,active,https://x.com/GoogleAIStudio/status/2075595994327077095,
841,Google,@googlelabs,210511,2026-07-01T20:28:50+00:00,active,https://x.com/GoogleLabs/status/2072417166952136789,
841,Google,@googleresearch,102493,2026-07-10T20:06:51+00:00,active,https://x.com/GoogleResearch/status/2075673122058142180,
