algorithm,position,score_rank,score,x_id,handle,display_name,followers_count,cohort_follow_count,cohort_follow_share,registry_state,entity_id,entity_kind,entity_name,explanation
entity-overlap-v3,22,22,1187.0,2465283662,_akhaliq,AK,511069,1187,0.4708449028163427,unknown,,,,Followed by 1187 of 2521 complete active Registry entities.
entity-overlap-v3,42,41,1004.0,183749519,paulg,Paul Graham,4051778,1004,0.3982546608488695,unknown,,,,Followed by 1004 of 2521 complete active Registry entities.
entity-overlap-v3,48,46,979.0,5943622,pmarca,Marc Andreessen 🇺🇸,4702295,979,0.38833796112653707,unknown,,,,Followed by 979 of 2521 complete active Registry entities.
entity-overlap-v3,73,70,835.0,50393960,billgates,Bill Gates,64127375,835,0.3312177707259024,unknown,,,,Followed by 835 of 2521 complete active Registry entities.
entity-overlap-v3,86,82,792.0,4939401,patrickc,Patrick Collison,1310988,792,0.3141610472034907,unknown,,,,Followed by 792 of 2521 complete active Registry entities.
entity-overlap-v3,87,83,791.0,16535432,goodside,Riley Goodside,217531,791,0.3137643792145974,unknown,,,,Followed by 791 of 2521 complete active Registry entities.
entity-overlap-v3,107,99,726.0,427089628,lexfridman,Lex Fridman,5157626,726,0.2879809599365331,unknown,,,,Followed by 726 of 2521 complete active Registry entities.
entity-overlap-v3,114,105,705.0,813286,barackobama,Barack Obama,119204822,705,0.2796509321697739,unknown,,,,Followed by 705 of 2521 complete active Registry entities.
entity-overlap-v3,130,115,688.0,776585502606721024,pytorch,PyTorch,501402,688,0.27290757635858787,unknown,,,,Followed by 688 of 2521 complete active Registry entities.
entity-overlap-v3,161,139,632.0,82364810,mit_csail,MIT CSAIL,347293,632,0.2506941689805633,unknown,,,,Followed by 632 of 2521 complete active Registry entities.
entity-overlap-v3,178,152,606.0,13348,scobleizer,Robert Scoble,592118,606,0.24038080126933756,unknown,,,,Followed by 606 of 2521 complete active Registry entities.
entity-overlap-v3,180,154,602.0,387156826,icmlconf,ICML Conference,86682,602,0.23879412931376437,unknown,,,,Followed by 602 of 2521 complete active Registry entities.
entity-overlap-v3,183,156,599.0,1013971684624424960,iclr_conf,ICLR,60025,599,0.2376041253470845,unknown,,,,Followed by 599 of 2521 complete active Registry entities.
entity-overlap-v3,191,163,588.0,15626406,michael_nielsen,Michael Nielsen,119897,588,0.23324077746925823,unknown,,,,Followed by 588 of 2521 complete active Registry entities.
entity-overlap-v3,217,180,559.0,745273,naval,Naval,3628907,559,0.22173740579135265,unknown,,,,Followed by 559 of 2521 complete active Registry entities.
entity-overlap-v3,223,184,549.0,1396491776739905542,techemails,Internal Tech Emails,594839,549,0.21777072590241967,unknown,,,,Followed by 549 of 2521 complete active Registry entities.
entity-overlap-v3,228,187,543.0,42226885,vkhosla,Vinod Khosla,727103,543,0.2153907179690599,unknown,,,,Followed by 543 of 2521 complete active Registry entities.
entity-overlap-v3,234,192,538.0,2877269376,3blue1brown,Grant Sanderson,446046,538,0.21340737802459342,unknown,,,,Followed by 538 of 2521 complete active Registry entities.
entity-overlap-v3,241,196,533.0,1128159740599656448,nearcyan,near,194916,533,0.21142403808012694,unknown,,,,Followed by 533 of 2521 complete active Registry entities.
entity-overlap-v3,256,205,522.0,149763,sriramk,Sriram Krishnan,311036,522,0.20706069020230067,unknown,,,,Followed by 522 of 2521 complete active Registry entities.
entity-overlap-v3,257,206,521.0,168805139,ykilcher,Yannic Kilcher 🇸🇨,89524,521,0.20666402221340738,unknown,,,,Followed by 521 of 2521 complete active Registry entities.
entity-overlap-v3,262,210,511.0,2178012643,balajis,Balaji,1853605,511,0.20269734232447442,unknown,,,,Followed by 511 of 2521 complete active Registry entities.
entity-overlap-v3,275,218,500.0,783356145670852608,distillpub,Distill,39353,500,0.19833399444664815,unknown,,,,Followed by 500 of 2521 complete active Registry entities.
entity-overlap-v3,281,222,496.0,295218901,vitalikbuterin,vitalik.eth,6983114,496,0.19674732249107496,unknown,,,,Followed by 496 of 2521 complete active Registry entities.
entity-overlap-v3,289,226,492.0,636513296,nikitabier,Nikita Bier,1197912,492,0.19516065053550177,unknown,,,,Followed by 492 of 2521 complete active Registry entities.
entity-overlap-v3,291,228,486.0,914061,levie,Aaron Levie,3067547,486,0.192780642602142,unknown,,,,Followed by 486 of 2521 complete active Registry entities.
