algorithm,position,score_rank,score,x_id,handle,display_name,followers_count,cohort_follow_count,cohort_follow_share,registry_state,entity_id,entity_kind,entity_name,explanation
entity-overlap-v3,1,1,2041.0,33836629,karpathy,Andrej Karpathy,3373646,2041,0.8095993653312178,active,11,person,Andrej Karpathy,Followed by 2041 of 2521 complete active Registry entities.
entity-overlap-v3,2,2,1739.0,911297187664949248,jeffdean,Jeff Dean,448044,1739,0.6898056326854423,active,12,person,Jeff Dean,Followed by 1739 of 2521 complete active Registry entities.
entity-overlap-v3,3,3,1615.0,1605,sama,Sam Altman,5492522,1615,0.6406188020626735,active,21,person,Sam Altman,Followed by 1615 of 2521 complete active Registry entities.
entity-overlap-v3,4,4,1576.0,48008938,ylecun,Yann LeCun,1237660,1576,0.625148750495835,active,13,person,Yann LeCun,Followed by 1576 of 2521 complete active Registry entities.
entity-overlap-v3,5,5,1566.0,1720046887,ilyasut,Ilya Sutskever,769664,1566,0.621182070606902,active,14,person,Ilya Sutskever,Followed by 1566 of 2521 complete active Registry entities.
entity-overlap-v3,6,6,1563.0,4398626122,openai,OpenAI,5022838,1563,0.6199920666402221,active,6,organization,OpenAI,Followed by 1563 of 2521 complete active Registry entities.
entity-overlap-v3,7,7,1461.0,216939636,andrewyng,Andrew Ng,1691847,1461,0.5795319317731059,active,44,person,Andrew Ng,Followed by 1461 of 2521 complete active Registry entities.
entity-overlap-v3,8,8,1455.0,1482581556,demishassabis,Demis Hassabis,1400293,1455,0.5771519238397461,active,36,person,Demis Hassabis,Followed by 1455 of 2521 complete active Registry entities.
entity-overlap-v3,9,9,1432.0,4783690002,googledeepmind,Google DeepMind,1474453,1432,0.5680285600952003,active,2,organization,Google DeepMind,Followed by 1432 of 2521 complete active Registry entities.
entity-overlap-v3,10,10,1400.0,162124540,gdb,Greg Brockman,1008744,1400,0.5553351844506148,active,39,person,Greg Brockman,Followed by 1400 of 2521 complete active Registry entities.
entity-overlap-v3,11,11,1356.0,1084212657761148928,geoffreyhinton,Geoffrey Hinton,620131,1356,0.5378817929393098,active,16,person,Geoffrey Hinton,Followed by 1356 of 2521 complete active Registry entities.
entity-overlap-v3,12,12,1354.0,775449094739197953,goodfellow_ian,Ian Goodfellow,374539,1354,0.5370884569615232,active,15,person,Ian Goodfellow,Followed by 1354 of 2521 complete active Registry entities.
entity-overlap-v3,13,13,1302.0,1353836358901501952,anthropicai,Anthropic,1527219,1302,0.5164617215390718,active,1,organization,Anthropic,Followed by 1302 of 2521 complete active Registry entities.
entity-overlap-v3,14,14,1290.0,130745589,drfeifei,Fei-Fei Li,864193,1290,0.5117017056723523,active,18,person,Fei-Fei Li,Followed by 1290 of 2521 complete active Registry entities.
entity-overlap-v3,15,15,1257.0,3918111614,oriolvinyalsml,Oriol Vinyals,203968,1257,0.49861166203887347,active,17,person,Oriol Vinyals,Followed by 1257 of 2521 complete active Registry entities.
entity-overlap-v3,16,16,1253.0,2895499182,hardmaru,hardmaru,422284,1253,0.49702499008330026,active,25,person,hardmaru,Followed by 1253 of 2521 complete active Registry entities.
entity-overlap-v3,17,17,1221.0,70831441,soumithchintala,Soumith Chintala,311931,1221,0.4843316144387148,active,62,person,Soumith Chintala,Followed by 1221 of 2521 complete active Registry entities.
entity-overlap-v3,18,18,1217.0,96999384,lilianweng,Lilian Weng,268579,1217,0.4827449424831416,active,32,person,Lilian Weng,Followed by 1217 of 2521 complete active Registry entities.
entity-overlap-v3,19,19,1216.0,246939962,thom_wolf,Thomas Wolf,119382,1216,0.48234827449424833,active,34,person,Thomas Wolf,Followed by 1216 of 2521 complete active Registry entities.
entity-overlap-v3,20,20,1201.0,1388977636618080256,johnschulman2,John Schulman,77679,1201,0.4763982546608489,active,43,person,John Schulman,Followed by 1201 of 2521 complete active Registry entities.
entity-overlap-v3,21,21,1192.0,731538535795163136,sarahookr,Sara Hooker,62557,1192,0.4728282427608092,active,20,person,Sara Hooker,Followed by 1192 of 2521 complete active Registry entities.
entity-overlap-v3,22,22,1187.0,2465283662,_akhaliq,AK,511069,1187,0.4708449028163427,unknown,,,,Followed by 1187 of 2521 complete active Registry entities.
entity-overlap-v3,23,23,1185.0,68746721,fchollet,François Chollet,705999,1185,0.47005156683855615,active,83,person,François Chollet,Followed by 1185 of 2521 complete active Registry entities.
entity-overlap-v3,24,24,1176.0,33838201,googleai,Google AI,2429857,1176,0.46648155493851645,active,841,organization,Google,Followed by 1176 of 2521 complete active Registry entities.
entity-overlap-v3,25,25,1170.0,2815077014,chrmanning,Christopher Manning,165766,1170,0.4641015470051567,active,24,person,Christopher Manning,Followed by 1170 of 2521 complete active Registry entities.
entity-overlap-v3,26,26,1167.0,1007413134,drjimfan,Jim Fan,494162,1167,0.4629115430384768,active,72,person,Jim Fan,Followed by 1167 of 2521 complete active Registry entities.
entity-overlap-v3,27,27,1150.0,153196789,ch402,Chris Olah,151986,1150,0.45616818722729074,active,26,person,Chris Olah,Followed by 1150 of 2521 complete active Registry entities.
entity-overlap-v3,28,28,1138.0,825088493764407298,polynoamial,Noam Brown,150196,1138,0.4514081713605712,active,49,person,Noam Brown,Followed by 1138 of 2521 complete active Registry entities.
entity-overlap-v3,29,29,1129.0,2577596593,chelseabfinn,Chelsea Finn,97285,1129,0.4478381594605315,active,19,person,Chelsea Finn,Followed by 1129 of 2521 complete active Registry entities.
entity-overlap-v3,30,30,1114.0,4558314927,srush_nlp,Sasha Rush,81760,1114,0.4418881396271321,active,27,person,Sasha Rush,Followed by 1114 of 2521 complete active Registry entities.
entity-overlap-v3,31,31,1108.0,175282603,jeremyphoward,Jeremy Howard,322438,1108,0.4395081316937723,active,96,person,Jeremy Howard,Followed by 1108 of 2521 complete active Registry entities.
