position,score_rank,x_id,handle,display_name,followers_count,cohort_follow_count,cohort_follow_share,registry_state,entity_id,entity_kind,entity_name,explanation
25,24,2465283662,_akhaliq,AK,510394,1086,0.49431042330450614,unknown,,,,Followed by 1086 of 2197 complete active Registry entities.
55,52,183749519,paulg,Paul Graham,3973595,850,0.38689121529358217,unknown,,,,Followed by 850 of 2197 complete active Registry entities.
64,58,5943622,pmarca,Marc Andreessen 🇺🇸,4584737,829,0.3773327264451525,unknown,,,,Followed by 829 of 2197 complete active Registry entities.
90,79,50393960,billgates,Bill Gates,64061980,734,0.3340919435593992,unknown,,,,Followed by 734 of 2197 complete active Registry entities.
100,89,16535432,goodside,Riley Goodside,216704,710,0.323167956304051,unknown,,,,Followed by 710 of 2197 complete active Registry entities.
123,109,4939401,patrickc,Patrick Collison,1286137,658,0.29949931725079654,unknown,,,,Followed by 658 of 2197 complete active Registry entities.
135,118,776585502606721024,pytorch,PyTorch,500981,630,0.2867546654528903,unknown,,,,Followed by 630 of 2197 complete active Registry entities.
143,123,813286,barackobama,Barack Obama,119214481,622,0.28311333636777425,unknown,,,,Followed by 622 of 2197 complete active Registry entities.
147,126,427089628,lexfridman,Lex Fridman,5125931,618,0.2812926718252162,unknown,,,,Followed by 618 of 2197 complete active Registry entities.
163,137,82364810,mit_csail,MIT CSAIL,347091,592,0.269458352298589,unknown,,,,Followed by 592 of 2197 complete active Registry entities.
171,144,387156826,icmlconf,ICML Conference,86502,582,0.2649066909421939,unknown,,,,Followed by 582 of 2197 complete active Registry entities.
173,145,1013971684624424960,iclr_conf,ICLR,59995,581,0.26445152480655437,unknown,,,,Followed by 581 of 2197 complete active Registry entities.
198,161,15626406,michael_nielsen,Michael Nielsen,119795,553,0.25170687300864814,unknown,,,,Followed by 553 of 2197 complete active Registry entities.
237,192,2877269376,3blue1brown,Grant Sanderson,445625,498,0.2266727355484752,unknown,,,,Followed by 498 of 2197 complete active Registry entities.
241,195,13348,scobleizer,Robert Scoble,591431,495,0.22530723714155668,unknown,,,,Followed by 495 of 2197 complete active Registry entities.
246,199,1128159740599656448,nearcyan,near,189849,490,0.22303140646335912,unknown,,,,Followed by 490 of 2197 complete active Registry entities.
254,204,783356145670852608,distillpub,Distill,39363,483,0.21984524351388257,unknown,,,,Followed by 483 of 2197 complete active Registry entities.
256,205,168805139,ykilcher,Yannic Kilcher 🇸🇨,89172,481,0.21893491124260356,unknown,,,,Followed by 481 of 2197 complete active Registry entities.
261,208,173157358,felixhill84,Felix Hill,12464,478,0.21756941283568504,unknown,,,,Followed by 478 of 2197 complete active Registry entities.
270,214,42226885,vkhosla,Vinod Khosla,721343,469,0.21347291761492945,unknown,,,,Followed by 469 of 2197 complete active Registry entities.
273,216,1396491776739905542,techemails,Internal Tech Emails,594830,465,0.21165225307237143,unknown,,,,Followed by 465 of 2197 complete active Registry entities.
287,222,149763,sriramk,Sriram Krishnan,310742,455,0.20710059171597633,unknown,,,,Followed by 455 of 2197 complete active Registry entities.
294,224,745273,naval,Naval,3605906,451,0.2052799271734183,unknown,,,,Followed by 451 of 2197 complete active Registry entities.
306,230,295218901,vitalikbuterin,vitalik.eth,6931648,444,0.20209376422394174,unknown,,,,Followed by 444 of 2197 complete active Registry entities.
316,237,1526643050,slatestarcodex,Scott Alexander,166013,435,0.19799726900318615,unknown,,,,Followed by 435 of 2197 complete active Registry entities.
323,241,11766442,dennybritz,Denny Britz,47142,430,0.19572143832498862,unknown,,,,Followed by 430 of 2197 complete active Registry entities.
327,242,16017475,natesilver538,Nate Silver,3029258,429,0.1952662721893491,unknown,,,,Followed by 429 of 2197 complete active Registry entities.
332,245,1504845539468263451,byjohnnylee,Johnny Lee,30425,426,0.1939007737824306,unknown,,,,Followed by 426 of 2197 complete active Registry entities.
345,253,2178012643,balajis,Balaji,1834281,417,0.189804278561675,unknown,,,,Followed by 417 of 2197 complete active Registry entities.
362,259,3448284313,omarsar0,elvis,310527,409,0.18616294947655895,unknown,,,,Followed by 409 of 2197 complete active Registry entities.
367,262,709543955126333440,boredyannlecun,Bored Yann LeCun,21877,406,0.1847974510696404,unknown,,,,Followed by 406 of 2197 complete active Registry entities.
374,263,254107028,tensorflow,TensorFlow,376868,405,0.1843422849340009,unknown,,,,Followed by 405 of 2197 complete active Registry entities.
380,266,929791330519322624,black_in_ai,Black in AI,42517,401,0.18252162039144287,unknown,,,,Followed by 401 of 2197 complete active Registry entities.
381,267,914061,levie,Aaron Levie,3045114,400,0.18206645425580337,unknown,,,,Followed by 400 of 2197 complete active Registry entities.
385,270,8496762,tylercowen,tylercowen,349418,396,0.18024578971324534,unknown,,,,Followed by 396 of 2197 complete active Registry entities.
