position,score_rank,x_id,handle,display_name,followers_count,cohort_follow_count,cohort_follow_share,registry_state,entity_id,entity_kind,entity_name,explanation
1,1,33836629,karpathy,Andrej Karpathy,3314365,1795,0.8170232134729176,active,11,person,Andrej Karpathy,Followed by 1795 of 2197 complete active Registry entities.
2,2,911297187664949248,jeffdean,Jeff Dean,447751,1591,0.7241693218024579,active,12,person,Jeff Dean,Followed by 1591 of 2197 complete active Registry entities.
3,3,1720046887,ilyasut,Ilya Sutskever,763214,1440,0.6554392353208921,active,14,person,Ilya Sutskever,Followed by 1440 of 2197 complete active Registry entities.
4,4,48008938,ylecun,Yann LeCun,1234853,1434,0.6527082385070551,active,13,person,Yann LeCun,Followed by 1434 of 2197 complete active Registry entities.
5,5,4398626122,openai,OpenAI,5012482,1406,0.6399635867091489,active,6,organization,OpenAI,Followed by 1406 of 2197 complete active Registry entities.
6,6,1605,sama,Sam Altman,5427069,1397,0.6358670914883933,active,21,person,Sam Altman,Followed by 1397 of 2197 complete active Registry entities.
7,7,1482581556,demishassabis,Demis Hassabis,1369543,1329,0.6049157942649067,active,36,person,Demis Hassabis,Followed by 1329 of 2197 complete active Registry entities.
8,8,4783690002,googledeepmind,Google DeepMind,1472178,1316,0.5989986345015931,active,2,organization,Google DeepMind,Followed by 1316 of 2197 complete active Registry entities.
9,9,216939636,andrewyng,Andrew Ng,1682866,1302,0.59262630860264,active,44,person,Andrew Ng,Followed by 1302 of 2197 complete active Registry entities.
10,10,775449094739197953,goodfellow_ian,Ian Goodfellow,374245,1264,0.5753299954483386,active,15,person,Ian Goodfellow,Followed by 1264 of 2197 complete active Registry entities.
11,11,1084212657761148928,geoffreyhinton,Geoffrey Hinton,618826,1260,0.5735093309057806,active,16,person,Geoffrey Hinton,Followed by 1260 of 2197 complete active Registry entities.
12,12,162124540,gdb,Greg Brockman,1006250,1243,0.5657715065999089,active,39,person,Greg Brockman,Followed by 1243 of 2197 complete active Registry entities.
