x_id,handle,display_name,registry_state,entity_id,entity_kind,entity_name,cohort_follow_count,cohort_follow_share,overlap_position,overlap_score_rank,pagerank_score,pagerank_position,pagerank_score_rank,pagerank_position_gain,is_personalization_seed
33836629,karpathy,Andrej Karpathy,active,11,person,Andrej Karpathy,1795,0.8170232134729176,1,1,0.01591247138963045,1,1,0,1
48008938,ylecun,Yann LeCun,active,13,person,Yann LeCun,1434,0.6527082385070551,4,4,0.015731516376439623,2,2,2,1
911297187664949248,jeffdean,Jeff Dean,active,12,person,Jeff Dean,1591,0.7241693218024579,2,2,0.015730401850177114,3,3,-1,1
1482581556,demishassabis,Demis Hassabis,active,36,person,Demis Hassabis,1329,0.6049157942649067,7,7,0.015477155156224883,4,4,3,1
4783690002,googledeepmind,Google DeepMind,active,2,organization,Google DeepMind,1316,0.5989986345015931,8,8,0.015461246322312763,5,5,3,1
130745589,drfeifei,Fei-Fei Li,active,18,person,Fei-Fei Li,1183,0.5384615384615384,14,14,0.015392293966247673,6,6,8,1
2577596593,chelseabfinn,Chelsea Finn,active,19,person,Chelsea Finn,1097,0.4993172507965407,23,22,0.015385160158128153,7,7,16,1
86351835,jackclarksf,Jack Clark,active,51,person,Jack Clark,1021,0.4647246244879381,35,33,0.015369679816713569,8,8,27,1
70831441,soumithchintala,Soumith Chintala,active,62,person,Soumith Chintala,1125,0.512061902594447,20,19,0.015365083741635352,9,9,11,1
1034844617261248512,aiatmeta,AI at Meta,active,3079,organization,Meta,971,0.4419663177059627,39,36,0.015344447979554981,10,10,29,1
86481377,percyliang,Percy Liang,active,31,person,Percy Liang,1031,0.4692762858443332,34,32,0.015339008887403905,11,11,23,1
68538286,hendrycks,Dan Hendrycks,active,146,person,Dan Hendrycks,642,0.29221665908056443,131,115,0.01526968632603597,12,12,119,1
891077171673931776,berkeley_ai,Berkeley AI Research,active,3070,organization,Berkeley AI Research,774,0.3522985889849795,73,66,0.015266306133683474,13,13,60,1
1319101874532978690,_jasonwei,Jason Wei,active,54,person,Jason Wei,914,0.4160218479745107,47,44,0.015212594043929578,14,14,33,1
2939913921,natolambert,Nathan Lambert,active,86,person,Nathan Lambert,838,0.38142922166590804,58,54,0.01521161686610058,15,15,43,1
990433714948661250,svlevine,Sergey Levine,active,33,person,Sergey Levine,962,0.4378698224852071,41,38,0.015198929417666374,16,16,25,1
710610891058716673,janleike,Jan Leike,active,46,person,Jan Leike,940,0.4278561675011379,43,40,0.015188752062709561,17,17,26,1
825088493764407298,polynoamial,Noam Brown,active,49,person,Noam Brown,1049,0.47746927628584435,32,30,0.01518013621878533,18,18,14,1
1214528593,miles_brundage,Miles Brundage,active,63,person,Miles Brundage,1053,0.47928994082840237,31,29,0.015163324563895035,19,19,12,1
1059680847425527808,stanfordailab,Stanford AI Lab,active,3071,organization,Stanford AI Lab,556,0.25307237141556665,196,160,0.015151236294806207,20,20,176,1
68746721,fchollet,François Chollet,active,83,person,François Chollet,1056,0.4806554392353209,30,28,0.015150527501928272,21,21,9,1
778764142412984320,huggingface,Hugging Face,active,70,organization,Hugging Face,853,0.3882567137005007,54,51,0.015096991673714769,22,22,32,1
568879807,tri_dao,Tri Dao,active,118,person,Tri Dao,741,0.33727810650887574,85,76,0.015092559706959,23,23,62,1
10834752,random_walker,Arvind Narayanan,active,144,person,Arvind Narayanan,618,0.2812926718252162,148,126,0.015013429149130262,24,24,124,1
1592266692528197632,togethercompute,Together AI,active,451,organization,Together AI,404,0.1838871187983614,376,264,0.014996192497372817,25,25,351,1
1743487864934162432,artificialanlys,Artificial Analysis,active,2340,organization,Artificial Analysis,224,0.10195721438324988,1102,436,0.01497314127468574,26,26,1076,1
740238495952736256,nvidiaai,NVIDIA AI,active,3085,organization,NVIDIA,281,0.12790168411470187,755,379,0.014960180703042277,27,27,728,1
3084274082,sayashk,Sayash Kapoor,active,878,person,Sayash Kapoor,270,0.12289485662266728,811,390,0.014956610907668208,28,28,783,1
1542528075128348674,neelnanda5,Neel Nanda,active,259,person,Neel Nanda,505,0.22985889849795174,232,187,0.0149406743671172,29,29,203,1
1706770561903497216,metr_evals,METR,active,2347,organization,METR,272,0.12380518889394629,800,388,0.014928307010926137,30,30,770,1
4398626122,openai,OpenAI,active,6,organization,OpenAI,1406,0.6399635867091489,5,5,0.0013083518983081576,31,31,-26,0
1353836358901501952,anthropicai,Anthropic,active,1,organization,Anthropic,1156,0.5261720527992717,16,16,0.00114763835418347,32,32,-16,0
1943306828697550848,claudeai,Claude,active,1,organization,Anthropic,339,0.15430131998179336,530,322,0.0009247934424778968,33,33,497,0
1891523745929732096,thinkymachines,Thinking Machines,active,9,organization,Thinking Machines Lab,726,0.3304506144742831,93,82,0.0009240662958223741,34,34,59,0
2024518793679294464,claudedevs,ClaudeDevs,active,1,organization,Anthropic,156,0.07100591715976332,1902,504,0.0009171142758608573,35,35,1867,0
1084212657761148928,geoffreyhinton,Geoffrey Hinton,active,16,person,Geoffrey Hinton,1260,0.5735093309057806,11,11,0.0008677128054505745,36,36,-25,0
