x_id,handle,display_name,registry_state,entity_id,entity_kind,entity_name,cohort_follow_count,cohort_follow_share,overlap_position,overlap_score_rank,pagerank_score,pagerank_position,pagerank_score_rank,pagerank_position_gain,is_personalization_seed
22747327,testingham,tom cunningham,unknown,,,,116,0.05279927173418298,2877,544,0.00047691043822720066,62,62,2815,0
1803847768781524992,openainewsroom,OpenAI Newsroom,unknown,,,,206,0.09376422394173874,1260,454,0.0004423801059987979,75,75,1185,0
50393960,billgates,Bill Gates,unknown,,,,734,0.3340919435593992,90,79,0.00043359006646162356,79,79,11,0
1986848589973495814,aievalforum,AI Evaluator Forum,unknown,,,,34,0.015475648611743286,11435,626,0.00042387441233886805,83,83,11352,0
2238160940,roxanneheston,Roxanne Heston,unknown,,,,45,0.020482476103777878,8777,615,0.00042292152698654944,84,84,8693,0
979434618062606337,hjalmarwijk,Hjalmar Wijk,unknown,,,,57,0.02594446973145198,6802,603,0.0004229180130670226,85,85,6717,0
935463800555237377,neev_parikh,Neev Parikh,unknown,,,,59,0.026854802002730997,6575,601,0.00042162030507980126,86,86,6489,0
1317378844169367554,slimshetty_,Manish Shetty,unknown,,,,64,0.02913063268092854,5990,596,0.00042069201924640294,89,89,5901,0
1798517249281785856,whitfill_parker,Parker Whitfill,unknown,,,,32,0.01456531634046427,12442,628,0.0004183545510938393,91,91,12351,0
1706769857486659584,nikolaj2030,Nikola Jurkovic,unknown,,,,62,0.028220300409649523,6204,598,0.0004178464247446623,92,92,6112,0
726763233403637762,michalbravansky,Michal Bravansky ✈️ ICML,unknown,,,,15,0.006827492034592627,25028,645,0.0004167589404539604,93,93,24935,0
977207240083099649,mkinniment,Megan Kinniment,unknown,,,,33,0.015020482476103778,11964,627,0.0004138330529074723,94,94,11870,0
1483957803538649091,jasmine10018637,Jasmine Dhaliwal,unknown,,,,15,0.006827492034592627,24753,645,0.0004131009334932933,95,95,24658,0
1560902471358197760,brucewlee2,Bruce W. Lee ✈️ ICML Seoul,unknown,,,,24,0.010923987255348202,16005,636,0.0004127637692683499,96,96,15909,0
1132100635,kwathomas0,Thomas Kwa,unknown,,,,22,0.010013654984069186,17568,638,0.0004125548376843068,97,97,17471,0
294292349,rajivdattani,Rajiv Dattani,unknown,,,,14,0.0063723258989531175,26857,646,0.00041213110742122934,98,98,26759,0
989261,spiegelmock,Mischa Spiegelmock,unknown,,,,5,0.002275830678197542,67492,655,0.000411874524275676,99,99,67393,0
1697247904887717888,htbroadley,Thomas Broadley,unknown,,,,6,0.0027309968138370506,54056,654,0.00041150709003522757,100,100,53956,0
1957193278438486017,parvmahajan0,Parv Mahajan is at ICML!,unknown,,,,17,0.007737824305871643,22470,643,0.00041143173817448543,101,101,22369,0
1727829311577571328,ailu_rae,rae she,unknown,,,,2,0.0009103322712790169,115117,658,0.00040962987202826633,102,102,115015,0
3012040712,charikris,Kris Chari,unknown,,,,3,0.0013654984069185253,89896,657,0.00040961780752247476,103,103,89793,0
1951091739248435201,reillyhaskins02,Reilly H,unknown,,,,3,0.0013654984069185253,105809,657,0.00040942976615207944,104,104,105705,0
151535729,rasmusfaber,Rasmus Faber-Espensen,unknown,,,,1,0.0004551661356395084,388398,659,0.0004093245470838483,105,105,388293,0
427089628,lexfridman,Lex Fridman,unknown,,,,618,0.2812926718252162,147,126,0.00039114665411133203,114,114,33,0
2465283662,_akhaliq,AK,unknown,,,,1086,0.49431042330450614,25,24,0.00036665749131691776,129,129,-104,0
295218901,vitalikbuterin,vitalik.eth,unknown,,,,444,0.20209376422394174,306,230,0.00036303267416643514,132,132,174,0
16535432,goodside,Riley Goodside,unknown,,,,710,0.323167956304051,100,89,0.0003470456575582646,139,139,-39,0
1714438092655149056,chatgptapp,ChatGPT,unknown,,,,260,0.11834319526627218,868,400,0.00034547888177216963,142,142,726,0
183749519,paulg,Paul Graham,unknown,,,,850,0.38689121529358217,55,52,0.0003300835514997715,148,148,-93,0
387156826,icmlconf,ICML Conference,unknown,,,,582,0.2649066909421939,171,144,0.0003254644393140188,149,149,22,0
3125968288,catehall,Cate Hall,unknown,,,,178,0.0810195721438325,1578,482,0.00029829797508580756,172,172,1406,0
776585502606721024,pytorch,PyTorch,unknown,,,,630,0.2867546654528903,135,118,0.0002973896449406569,173,173,-38,0
149763,sriramk,Sriram Krishnan,unknown,,,,455,0.20710059171597633,287,222,0.0002893120119160746,180,180,107,0
783356145670852608,distillpub,Distill,unknown,,,,483,0.21984524351388257,254,204,0.00028811783160540396,181,181,73,0
821766660822626304,partnershipai,Partnership on AI,unknown,,,,210,0.09558488848429676,1223,450,0.00028781245374202326,182,182,1041,0
23289019,moskov,Dustin Moskovitz,unknown,,,,231,0.10514337733272644,1054,429,0.00028509975451415214,186,186,868,0
4157611,willknight,Will Knight,unknown,,,,300,0.13654984069185253,675,360,0.00028325932493883794,189,189,486,0
1983192256128659456,soraofficialapp,Sora,unknown,,,,15,0.006827492034592627,25359,645,0.00027885602401315454,193,193,25166,0
15143478,richarddawkins,Richard Dawkins,unknown,,,,176,0.08010923987255349,1614,484,0.0002711927115930565,210,210,1404,0
15626406,michael_nielsen,Michael Nielsen,unknown,,,,553,0.25170687300864814,198,161,0.00026339745337319474,217,217,-19,0
17468569,bryan_johnson,Bryan Johnson,unknown,,,,348,0.15839781520254892,503,314,0.0002588729183531757,222,222,281,0
82364810,mit_csail,MIT CSAIL,unknown,,,,592,0.269458352298589,163,137,0.0002490222525052765,238,238,-75,0
813286,barackobama,Barack Obama,unknown,,,,622,0.28311333636777425,143,123,0.0002467806776231097,241,241,-98,0
929791330519322624,black_in_ai,Black in AI,unknown,,,,401,0.18252162039144287,380,266,0.0002448676836943314,243,243,137,0
5943622,pmarca,Marc Andreessen 🇺🇸,unknown,,,,829,0.3773327264451525,64,58,0.0002437224981777984,244,244,-180,0
254107028,tensorflow,TensorFlow,unknown,,,,405,0.1843422849340009,374,263,0.0002424225773169714,245,245,129,0
25422302,liv_boeree,Liv Boeree,unknown,,,,176,0.08010923987255349,1611,484,0.0002418408704096507,246,246,1365,0
1067218780806307841,stanfordhai,Stanford HAI,unknown,,,,373,0.16977696859353664,434,291,0.00023324560622727837,258,258,176,0
1013971684624424960,iclr_conf,ICLR,unknown,,,,581,0.26445152480655437,173,145,0.00022368859984775363,277,277,-104,0
2781430855,adampaulcoates,Adam Coates,unknown,,,,331,0.15065999089667728,562,330,0.00022149355071505075,278,278,284,0
3377714115,karlpertsch,Karl Pertsch,unknown,,,,112,0.05097860719162494,2999,548,0.00021835461269649505,288,288,2711,0
1526643050,slatestarcodex,Scott Alexander,unknown,,,,435,0.19799726900318615,316,237,0.000215835702093282,292,292,24,0
1520007062188552192,usa_dachshund,Dachshund Community(USA),unknown,,,,5,0.002275830678197542,68379,655,0.0002128229989372513,299,299,68080,0
276540738,grimezsz,𝖦𝗋𝗂𝗆𝖾𝗌 ⏳,unknown,,,,252,0.11470186618115612,933,408,0.00021216496332705857,301,301,632,0
1008492120125030400,kelseytuoc,Kelsey Piper,unknown,,,,317,0.14428766499772416,603,343,0.0002116093105514134,303,303,300,0
4939401,patrickc,Patrick Collison,unknown,,,,658,0.29949931725079654,123,109,0.00020997938281874776,310,310,-187,0
747538968,hazyresearch,Hazy Research: Strip Mall AI Research Club,unknown,,,,296,0.1347291761492945,686,364,0.00020991744014726938,311,311,375,0
1546624215628910592,ai__pub,AI Pub,unknown,,,,330,0.15020482476103778,565,331,0.0002066578962964325,318,318,247,0
1128159740599656448,nearcyan,near,unknown,,,,490,0.22303140646335912,246,199,0.0002048378221495293,319,319,-73,0
745273,naval,Naval,unknown,,,,451,0.2052799271734183,294,224,0.00020465293379871413,321,321,-27,0
81961201,ashleevance,Ashlee Vance,unknown,,,,281,0.12790168411470187,754,379,0.00020167637944724654,325,325,429,0
449588356,kasparov63,Garry Kasparov,unknown,,,,170,0.07737824305871643,1692,490,0.00019889347132530624,332,332,1360,0
107225267,sapinker,Steven Pinker,unknown,,,,302,0.13746017296313154,667,358,0.00019099819082441077,342,342,325,0
173157358,felixhill84,Felix Hill,unknown,,,,478,0.21756941283568504,261,208,0.00019058427597246216,343,343,-82,0
1775352998388232192,grayswanai,Gray Swan AI,unknown,,,,62,0.028220300409649523,6168,598,0.00018600351912464533,356,356,5812,0
2865100348,wimlworkshop,WiML,unknown,,,,352,0.16021847974510697,489,310,0.00018566591416610325,357,357,132,0
1076526138736951298,paperswithcode,Papers with Code,unknown,,,,325,0.14792899408284024,575,335,0.00018433162218278054,364,364,211,0
16285720,lilaibrahim,Lila Ibrahim,unknown,,,,107,0.0487027765134274,3178,553,0.00018403302373204487,367,367,2811,0
14230772,matt_levine,Matt Levine,unknown,,,,310,0.14110150204824762,627,350,0.00017993331981468305,380,380,247,0
133152680,robertskmiles,Rob Miles,unknown,,,,167,0.0760127446517979,1742,493,0.00017913044618517485,382,382,1360,0
1385228159604465667,bigsciencew,BigScience Research Workshop,unknown,,,,268,0.12198452435138826,821,392,0.00017866111205251895,384,384,437,0
636513296,nikitabier,Nikita Bier,unknown,,,,393,0.17888029130632682,395,273,0.00017690507382100252,391,391,4,0
440506882,spencrgreenberg,Spencer Greenberg 🔍,unknown,,,,144,0.06554392353208921,2138,516,0.00017679234641997539,394,394,1744,0
1639273375,vitchyr,Vitchyr Pong,unknown,,,,88,0.04005461993627674,4095,572,0.00017562823593105252,398,398,3697,0
877952584333410305,nvidiaaidev,NVIDIA AI Developer,unknown,,,,126,0.05735093309057806,2569,534,0.00017455441030085684,402,402,2167,0
1161523703898955779,_anniechen_,Annie Chen,unknown,,,,108,0.04915794264906691,3126,552,0.00017439114208105656,405,405,2721,0
504906590,terahlyons,Terah Lyons,unknown,,,,117,0.05325443786982249,2845,543,0.00017384413775699663,408,408,2437,0
1562139162781704192,cais,Center for AI Safety,unknown,,,,129,0.058716431497496585,2468,531,0.00017068501994506427,418,418,2050,0
1560075031400570883,smithlaura1028,Laura Smith,unknown,,,,92,0.041875284478834776,3876,568,0.00016786565968386914,428,428,3448,0
929698056756396032,mcallesterdavid,David McAllester,unknown,,,,76,0.03459262630860264,4887,584,0.00016659028938148572,432,432,4455,0
971126551692697601,kvablack,Kevin Black,unknown,,,,78,0.03550295857988166,4737,582,0.0001662627124340995,433,433,4304,0
261333085,albrgr,Alexander Berger,unknown,,,,215,0.09786071916249431,1175,445,0.00016540483562794693,437,437,738,0
1465941895,abidlabs,🍉 Abubakar Abid,unknown,,,,156,0.07100591715976332,1900,504,0.00016534343831772194,438,438,1462,0
41609220,isbellhfh,Charles Isbell,unknown,,,,288,0.13108784706417842,723,372,0.00016483265080012333,441,441,282,0
1364187449526808583,ben_j_todd,Benjamin Todd,unknown,,,,121,0.05507510241238052,2719,539,0.0001639225326164723,451,451,2268,0
